City,Sampled_Count,Sampled_Proportion
Yonkers,2278,0.0005895313924172495
Englewood,2270,0.0005874610451216666
Newport News,2269,0.0005872022517097187
Asheville,2265,0.0005861670780619272
Farmington,2261,0.0005851319044141357
Gainesville,2253,0.0005830615571185527
Van Nuys,2246,0.0005812500032349176
Clinton,2241,0.0005799560361751783
Palmdale,2238,0.0005791796559393347
Little Rock,2232,0.0005776268954676474
Azusa,2207,0.0005711570601689506
Bend,2191,0.0005670163655777848
Lehigh Acres,2188,0.0005662399853419411
Lorton,2177,0.0005633932578105146
Des Moines,2167,0.0005608053236910358
Emeryville,2166,0.000560546530279088
Melbourne,2165,0.0005602877368671401
El Monte,2163,0.0005597701500432443
Jersey City,2156,0.0005579585961596093
Hesperia,2153,0.0005571822159237657
Sterling,2151,0.00055666462909987
Manor,2143,0.000554594281804287
Grand Blanc,2117,0.0005478656530936423
Morrisville,2106,0.0005450189255622157
Trenton,2102,0.0005439837519144242
New Port Richey,2094,0.0005419134046188413
Grand Prairie,2088,0.0005403606441471541
Sun Valley,2082,0.0005388078836754669
Greenwood,2081,0.000538549090263519
Pittsburg,2078,0.0005377727100276754
Eugene,2076,0.0005372551232037796
Cary,2070,0.0005357023627320924
Tyler,2068,0.0005351847759081967
Lake City,2053,0.0005313028747289786
Mountain View,2040,0.0005279385603736563
Elk Grove,2036,0.0005269033867258648
Taylors,2029,0.0005250918328422297
Falls Church,2027,0.0005245742460183339
Gaffney,2018,0.0005222451053108031
San Marcos,2014,0.0005212099316630116
Marysville,1986,0.0005139637161284713
Santa Cruz,1974,0.0005108581951850968
Medford,1973,0.000510599401773149
San Dimas,1973,0.000510599401773149
Bonita Springs,1970,0.0005098230215373053
Pflugerville,1966,0.0005087878478895138
Buena Park,1960,0.0005072350874178266
Conshohocken,1958,0.0005067175005939308
Boiling Springs,1957,0.000506458707181983
Martinez,1955,0.0005059411203580873
Encino,1948,0.0005041295664744522
Glen Allen,1941,0.000502318012590817
Covington,1941,0.000502318012590817
Pottstown,1941,0.000502318012590817
